x0000,y0000,x0001,y0001,x0002,y0002,x0003,y0003
461,0.00238757,461,1,461,24.25,461,42.8,
462,0.00238958,462,1,462,24.22,462,42.65,
463,0.00238956,463,1,463,24.19,463,42.6,
464,0.00238748,464,1,464,24.17,464,42.44,
465,0.00238684,465,1,465,24.15,465,42.44,
466,0.00239198,466,1,466,24.11,466,42.54,
467,0.00238899,467,1,467,24.1,467,42.54,
468,0.00238741,468,1,468,24.11,468,42.26,
469,0.0023849,469,1,469,24.08,469,42.01,
470,0.00238913,470,1,470,24.06,470,41.82,
471,0.00238877,471,1,471,24.03,471,41.83,
472,0.0023866,472,1,472,24.04,472,41.84,
473,0.00238858,473,1,473,24.06,473,41.86,
474,0.00238495,474,1,474,24.06,474,41.78,
475,0.00239142,475,1,475,24.05,475,41.73,
476,0.00238738,476,1,476,24.01,476,41.61,
477,0.00238715,477,1,477,23.94,477,41.41,
478,0.00238791,478,1,478,23.9,478,41.21,
479,0.00238763,479,1,479,23.88,479,41.11,
480,0.00238907,480,1,480,23.84,480,41.27,
481,0.0023893,481,1,481,23.83,481,41.37,
482,0.00238714,482,1,482,23.85,482,41.4,
483,0.00238795,483,1,483,23.87,483,41.34,
