  TOF,Distancia,Temp,Humed
0.00238987,1,22.39,46.94
0.00238974,1,22.40,46.99
0.00238934,1,22.40,47.06
0.00238840,1,22.40,47.13
0.00238675,1,22.40,47.21
0.00238728,1,22.41,47.25
0.00238777,1,22.41,47.31
0.00238905,1,22.42,47.34
0.00238670,1,22.42,47.31
0.00238443,1,22.42,47.28
0.00238470,1,22.43,47.29
0.00238544,1,22.43,47.30
0.00238757,1,22.43,47.30
0.00238831,1,22.44,47.25
0.00238923,1,22.45,47.21
0.00238938,1,22.44,47.13
0.00238960,1,22.45,47.10
0.00238910,1,22.45,47.09
0.00238912,1,22.44,47.07
0.00238910,1,22.44,47.04
0.00238849,1,22.45,46.96
0.00238877,1,22.44,46.89
0.00238828,1,22.44,46.82
0.00238925,1,22.44,46.75
0.00238956,1,22.44,46.70
0.00238878,1,22.44,46.63
0.00238988,1,22.44,46.57
0.00238685,1,22.44,46.48
0.00238351,1,22.44,46.44
0.00238258,1,22.44,46.47
0.00238503,1,22.44,46.53
0.00238816,1,22.45,46.57
0.00238737,1,22.45,46.53
0.00238785,1,22.45,46.47
0.00238809,1,22.45,46.40
0.00238862,1,22.45,46.32
0.00238972,1,22.45,46.24
0.00238928,1,22.45,46.18
0.00238853,1,22.45,46.14
0.00238829,1,22.45,46.12
0.00238829,1,22.45,46.08
0.00238815,1,22.44,46.02
0.00238255,1,22.45,45.95
0.00238198,1,22.45,45.89
0.00238243,1,22.45,45.84
0.00238417,1,22.45,45.76
0.00238859,1,22.44,45.70
0.00238707,1,22.45,45.64
0.00238252,1,22.45,45.66
0.00238258,1,22.45,45.72
0.00238244,1,22.46,45.83
0.00238181,1,22.46,45.94
0.00238239,1,22.46,46.02
0.00238488,1,22.46,46.08
0.00238616,1,22.46,46.15
0.00238885,1,22.46,46.23
0.00238981,1,22.47,46.34
0.00238676,1,22.47,46.48
0.00238308,1,22.47,46.65
0.00238313,1,22.48,46.65
0.00238553,1,22.47,46.56
0.00238935,1,22.47,46.47
0.00238639,1,22.47,46.45
0.00238680,1,22.47,46.49
0.00238302,1,22.48,46.56
0.00238640,1,22.48,46.62
0.00238953,1,22.48,46.68
0.00239038,1,22.48,46.71
0.00238660,1,22.48,46.65
0.00238240,1,22.47,46.53
0.00238127,1,22.48,46.37
0.00238210,1,22.50,46.32
0.00238399,1,22.51,46.21
0.00238738,1,22.51,46.03
0.00238528,1,22.51,45.94
0.00238189,1,22.52,45.85
0.00238476,1,22.52,45.80
0.00238720,1,22.52,45.74
0.00238965,1,22.52,45.68
0.00238963,1,22.52,45.62
0.00238461,1,22.52,45.56
0.00238839,1,22.52,45.51
0.00238594,1,22.52,45.48
0.00238593,1,22.52,45.45
0.00238793,1,22.52,45.44
0.00238694,1,22.51,45.45
0.00238784,1,22.51,45.45
0.00238559,1,22.51,45.46
0.00238148,1,22.51,45.47
0.00238259,1,22.51,45.49
0.00238159,1,22.51,45.53
0.00238118,1,22.51,45.55
0.00238319,1,22.51,45.59
0.00238249,1,22.52,45.60
0.00238272,1,22.52,45.59
0.00238286,1,22.52,45.59
0.00238092,1,22.51,45.59
0.00238189,1,22.51,45.57
0.00238255,1,22.51,45.57
0.00238060,1,22.51,45.56
0.00238071,1,22.51,45.55
0.00238210,1,22.52,45.57
0.00238150,1,22.52,45.60
0.00238319,1,22.53,45.61
0.00238538,1,22.54,45.61
0.00238463,1,22.54,45.72
0.00238217,1,22.55,46.02
0.00238689,1,22.55,46.54
0.00238197,1,22.55,46.90
0.00237971,1,22.56,47.09
0.00238279,1,22.56,47.14
0.00238579,1,22.56,47.21
0.00238179,1,22.56,47.33
0.00238441,1,22.57,47.42
0.00238574,1,22.57,47.48
0.00238840,1,22.58,47.56
0.00238860,1,22.58,47.59
0.00238911,1,22.59,47.57
0.00238201,1,22.59,47.48
0.00237997,1,22.59,47.40
0.00238099,1,22.60,47.42
0.00238188,1,22.60,47.48
0.00238703,1,22.59,47.44
0.00238601,1,22.60,47.33
0.00238421,1,22.60,47.23
0.00238440,1,22.61,47.18
0.00238832,1,22.61,47.18
0.00238403,1,22.61,47.20
0.00238219,1,22.61,47.25
0.00238129,1,22.61,47.36
0.00238434,1,22.61,47.39
0.00238739,1,22.62,47.37
0.00238769,1,22.62,47.34
0.00238722,1,22.62,47.34
0.00238742,1,22.63,47.35
0.00238556,1,22.63,47.44
0.00238861,1,22.63,47.56
0.00238540,1,22.64,47.59
0.00238138,1,22.64,47.58
0.00238309,1,22.65,47.54
0.00238456,1,22.65,47.48
0.00238511,1,22.66,47.44
0.00238332,1,22.66,47.35
0.00238530,1,22.66,47.22
0.00238665,1,22.66,47.09
0.00238555,1,22.66,47.00
0.00238256,1,22.67,46.92
0.00238452,1,22.67,46.88
0.00238379,1,22.67,46.86
0.00238752,1,22.68,46.85
0.00238454,1,22.68,46.84
0.00238274,1,22.69,46.84
0.00238367,1,22.70,46.87
0.00238772,1,22.71,46.88
0.00238658,1,22.72,46.90
0.00238569,1,22.71,46.91
0.00238316,1,22.71,46.88
0.00238286,1,22.70,46.86
0.00238635,1,22.70,46.90
0.00238181,1,22.70,46.95
0.00238346,1,22.70,46.98
0.00238519,1,22.70,46.98
0.00238112,1,22.71,46.97
0.00238094,1,22.71,46.97
0.00238435,1,22.71,46.96
0.00238658,1,22.71,46.94
0.00238836,1,22.71,46.93
0.00238719,1,22.71,46.94
0.00238781,1,22.71,46.97
0.00238543,1,22.71,47.00
0.00238166,1,22.72,47.04
0.00238709,1,22.72,47.08
0.00238332,1,22.72,47.14
0.00238375,1,22.71,47.19
0.00238049,1,22.72,47.22
0.00238630,1,22.72,47.24
0.00238142,1,22.72,47.33
0.00238143,1,22.72,47.46
0.00238642,1,22.72,47.55
0.00238386,1,22.72,47.59
0.00238336,1,22.72,47.64
0.00238389,1,22.72,47.67
0.00238338,1,22.73,47.66
0.00238365,1,22.74,47.65
0.00238573,1,22.73,47.61
0.00238600,1,22.73,47.54
0.00238392,1,22.73,47.51
0.00238306,1,22.73,47.46
0.00238158,1,22.74,47.41
0.00238236,1,22.74,47.34
0.00238210,1,22.74,47.27
0.00238178,1,22.75,47.27
0.00238426,1,22.75,47.31
0.00238675,1,22.75,47.33
0.00238770,1,22.75,47.31
0.00238706,1,22.75,47.31
0.00238803,1,22.76,47.35
0.00238779,1,22.76,47.35
0.00238397,1,22.77,47.33
0.00238121,1,22.78,47.27
0.00238169,1,22.78,47.23
0.00238605,1,22.78,47.16
0.00238703,1,22.79,47.11
0.00238434,1,22.79,47.07
0.00238634,1,22.79,47.04
0.00238282,1,22.79,47.03
0.00238392,1,22.79,47.02
0.00238485,1,22.79,47.00
0.00238228,1,22.79,46.96
0.00238683,1,22.78,46.96
0.00238624,1,22.79,46.96
0.00237932,1,22.79,46.98
0.00238074,1,22.80,47.00
0.00238139,1,22.80,47.05
0.00238034,1,22.80,47.12
0.00238053,1,22.80,47.20
0.00238169,1,22.80,47.23
0.00238655,1,22.81,47.24
0.00238662,1,22.81,47.33
0.00238599,1,22.81,47.45
0.00238588,1,22.82,47.52
0.00238628,1,22.82,47.54
0.00238794,1,22.81,47.52
0.00238358,1,22.81,47.55
0.00238417,1,22.81,47.57
0.00238486,1,22.82,47.57
0.00238211,1,22.82,47.62
0.00238528,1,22.82,47.62
0.00238577,1,22.83,47.52
0.00238833,1,22.83,47.35
0.00238425,1,22.84,47.15
0.00237945,1,22.82,46.93
0.00238413,1,22.82,46.78
0.00238786,1,22.82,46.71
0.00238551,1,22.82,46.69
0.00238333,1,22.83,46.68
0.00238008,1,22.84,46.73
0.00238311,1,22.85,46.80
0.00238413,1,22.85,46.87
0.00238506,1,22.85,46.96
0.00238519,1,22.86,47.03
0.00238494,1,22.86,46.98
0.00238313,1,22.86,46.90
0.00238310,1,22.87,46.86
0.00238442,1,22.87,46.84
0.00238083,1,22.87,46.81
0.00238180,1,22.87,46.75
0.00238429,1,22.87,46.69
0.00238890,1,22.88,46.63
0.00238611,1,22.88,46.55
0.00238628,1,22.88,46.44
0.00238230,1,22.88,46.41
0.00238389,1,22.88,46.40
0.00238658,1,22.88,46.37
0.00238719,1,22.88,46.36
0.00238446,1,22.88,46.36
0.00238475,1,22.89,46.35
0.00238389,1,22.89,46.33

